Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
6	:	1779732417.161	 13986.435	0	0	0	0	run_cell DJIA 1 EXDRL 0
5	:	1779732417.160	 14019.325	0	0	0	0	run_cell DJIA 0 EXDRL 4
13	:	1779732417.179	 14022.426	0	0	0	0	run_cell DJIA 2 EXDRL 2
11	:	1779732417.173	 14027.253	0	0	0	0	run_cell DJIA 2 EXDRL 0
8	:	1779732417.165	 14033.404	0	0	0	0	run_cell DJIA 1 EXDRL 2
10	:	1779732417.170	 14035.141	0	0	0	0	run_cell DJIA 1 EXDRL 4
14	:	1779732417.182	 14036.887	0	0	0	0	run_cell DJIA 2 EXDRL 3
4	:	1779732417.158	 14039.825	0	0	0	0	run_cell DJIA 0 EXDRL 3
15	:	1779732417.190	 14065.779	0	0	0	0	run_cell DJIA 2 EXDRL 4
1	:	1779732417.154	 14066.266	0	0	0	0	run_cell DJIA 0 EXDRL 0
9	:	1779732417.168	 14074.982	0	0	0	0	run_cell DJIA 1 EXDRL 3
3	:	1779732417.156	 14083.617	0	0	0	0	run_cell DJIA 0 EXDRL 2
7	:	1779732417.163	 14084.421	0	0	0	0	run_cell DJIA 1 EXDRL 1
12	:	1779732417.176	 14125.014	0	0	0	0	run_cell DJIA 2 EXDRL 1
2	:	1779732417.155	 14158.036	0	0	0	0	run_cell DJIA 0 EXDRL 1
18	:	1779746439.615	 14140.194	0	0	0	0	run_cell DJIA 3 EXDRL 2
26	:	1779746492.160	 14092.628	0	0	0	0	run_cell DJIA 5 EXDRL 0
16	:	1779746403.650	 14181.638	0	0	0	0	run_cell DJIA 3 EXDRL 0
19	:	1779746444.434	 14179.639	0	0	0	0	run_cell DJIA 3 EXDRL 3
23	:	1779746456.992	 14180.353	0	0	0	0	run_cell DJIA 4 EXDRL 2
21	:	1779746452.317	 14201.790	0	0	0	0	run_cell DJIA 4 EXDRL 0
24	:	1779746482.974	 14185.591	0	0	0	0	run_cell DJIA 4 EXDRL 3
20	:	1779746450.576	 14218.539	0	0	0	0	run_cell DJIA 3 EXDRL 4
17	:	1779746436.499	 14234.707	0	0	0	0	run_cell DJIA 3 EXDRL 1
28	:	1779746501.592	 14187.789	0	0	0	0	run_cell DJIA 5 EXDRL 2
22	:	1779746454.078	 14245.924	0	0	0	0	run_cell DJIA 4 EXDRL 1
30	:	1779746575.200	 14135.481	0	0	0	0	run_cell DJIA 5 EXDRL 4
25	:	1779746483.429	 14236.857	0	0	0	0	run_cell DJIA 4 EXDRL 4
27	:	1779746500.783	 14232.414	0	0	0	0	run_cell DJIA 5 EXDRL 1
29	:	1779746542.202	 14274.504	0	0	0	0	run_cell DJIA 5 EXDRL 3
31	:	1779760579.823	 14116.934	0	0	0	0	run_cell DJIA 6 EXDRL 0
35	:	1779760637.355	 14177.250	0	0	0	0	run_cell DJIA 6 EXDRL 4
32	:	1779760584.800	 14242.373	0	0	0	0	run_cell DJIA 6 EXDRL 1
34	:	1779760624.078	 14222.161	0	0	0	0	run_cell DJIA 6 EXDRL 3
39	:	1779760671.213	 14178.379	0	0	0	0	run_cell DJIA 7 EXDRL 3
