Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1778179457.519	   471.519	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V0 --seed 1         --out results/full         > logs/full_fold12/DJIA_V0_s1.log 2>&1
5	:	1778179457.526	   472.984	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V0 --seed 4         --out results/full         > logs/full_fold12/DJIA_V0_s4.log 2>&1
3	:	1778179457.520	   474.756	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V0 --seed 2         --out results/full         > logs/full_fold12/DJIA_V0_s2.log 2>&1
4	:	1778179457.522	   475.553	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V0 --seed 3         --out results/full         > logs/full_fold12/DJIA_V0_s3.log 2>&1
1	:	1778179457.516	   478.570	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V0 --seed 0         --out results/full         > logs/full_fold12/DJIA_V0_s0.log 2>&1
6	:	1778179457.529	  1960.759	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V1 --seed 0         --out results/full         > logs/full_fold12/DJIA_V1_s0.log 2>&1
8	:	1778179930.515	  1869.027	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V1 --seed 2         --out results/full         > logs/full_fold12/DJIA_V1_s2.log 2>&1
9	:	1778179932.280	  1883.407	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V1 --seed 3         --out results/full         > logs/full_fold12/DJIA_V1_s3.log 2>&1
10	:	1778179933.079	  1886.351	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V1 --seed 4         --out results/full         > logs/full_fold12/DJIA_V1_s4.log 2>&1
7	:	1778179929.045	  1893.901	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V1 --seed 1         --out results/full         > logs/full_fold12/DJIA_V1_s1.log 2>&1
16	:	1778181822.950	  2130.965	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V3 --seed 0         --out results/full         > logs/full_fold12/DJIA_V3_s0.log 2>&1
11	:	1778179936.091	  5627.573	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V2 --seed 0         --out results/full         > logs/full_fold12/DJIA_V2_s0.log 2>&1
17	:	1778183953.920	  2178.964	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V3 --seed 1         --out results/full         > logs/full_fold12/DJIA_V3_s1.log 2>&1
12	:	1778181418.293	  5640.759	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V2 --seed 1         --out results/full         > logs/full_fold12/DJIA_V2_s1.log 2>&1
13	:	1778181799.546	  5559.792	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V2 --seed 2         --out results/full         > logs/full_fold12/DJIA_V2_s2.log 2>&1
15	:	1778181819.435	  5557.837	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V2 --seed 4         --out results/full         > logs/full_fold12/DJIA_V2_s4.log 2>&1
14	:	1778181815.690	  5606.578	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V2 --seed 3         --out results/full         > logs/full_fold12/DJIA_V2_s3.log 2>&1
18	:	1778185563.669	  2148.540	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V3 --seed 2         --out results/full         > logs/full_fold12/DJIA_V3_s2.log 2>&1
19	:	1778186132.891	  2228.099	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V3 --seed 3         --out results/full         > logs/full_fold12/DJIA_V3_s3.log 2>&1
20	:	1778187059.059	  2256.092	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V3 --seed 4         --out results/full         > logs/full_fold12/DJIA_V3_s4.log 2>&1
26	:	1778189315.156	   484.669	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V0 --seed 0         --out results/full         > logs/full_fold12/SP50_V0_s0.log 2>&1
27	:	1778189799.830	   483.680	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V0 --seed 1         --out results/full         > logs/full_fold12/SP50_V0_s1.log 2>&1
28	:	1778190283.514	   486.421	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V0 --seed 2         --out results/full         > logs/full_fold12/SP50_V0_s2.log 2>&1
29	:	1778190769.940	   480.585	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V0 --seed 3         --out results/full         > logs/full_fold12/SP50_V0_s3.log 2>&1
30	:	1778191250.529	   486.361	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V0 --seed 4         --out results/full         > logs/full_fold12/SP50_V0_s4.log 2>&1
22	:	1778187377.276	  6366.333	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V4 --seed 1         --out results/full         > logs/full_fold12/DJIA_V4_s1.log 2>&1
21	:	1778187359.343	  6400.434	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V4 --seed 0         --out results/full         > logs/full_fold12/DJIA_V4_s0.log 2>&1
23	:	1778187422.273	  6365.326	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V4 --seed 2         --out results/full         > logs/full_fold12/DJIA_V4_s2.log 2>&1
31	:	1778191736.895	  2070.895	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V1 --seed 0         --out results/full         > logs/full_fold12/SP50_V1_s0.log 2>&1
24	:	1778187712.216	  6308.715	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V4 --seed 3         --out results/full         > logs/full_fold12/DJIA_V4_s3.log 2>&1
25	:	1778188360.997	  6443.085	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market DJIA --fold 12 --variant V4 --seed 4         --out results/full         > logs/full_fold12/DJIA_V4_s4.log 2>&1
32	:	1778193743.615	  2182.184	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V1 --seed 1         --out results/full         > logs/full_fold12/SP50_V1_s1.log 2>&1
34	:	1778193787.605	  2146.724	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V1 --seed 3         --out results/full         > logs/full_fold12/SP50_V1_s3.log 2>&1
33	:	1778193759.781	  2182.791	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V1 --seed 2         --out results/full         > logs/full_fold12/SP50_V1_s2.log 2>&1
35	:	1778193807.794	  2142.354	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V1 --seed 4         --out results/full         > logs/full_fold12/SP50_V1_s4.log 2>&1
41	:	1778195950.151	  2455.872	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V3 --seed 0         --out results/full         > logs/full_fold12/SP50_V3_s0.log 2>&1
36	:	1778194020.938	  6063.331	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V2 --seed 0         --out results/full         > logs/full_fold12/SP50_V2_s0.log 2>&1
42	:	1778198406.031	  2497.446	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V3 --seed 1         --out results/full         > logs/full_fold12/SP50_V3_s1.log 2>&1
37	:	1778194804.085	  6187.947	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V2 --seed 1         --out results/full         > logs/full_fold12/SP50_V2_s1.log 2>&1
38	:	1778195925.803	  5959.825	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V2 --seed 2         --out results/full         > logs/full_fold12/SP50_V2_s2.log 2>&1
39	:	1778195934.334	  6019.632	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V2 --seed 3         --out results/full         > logs/full_fold12/SP50_V2_s3.log 2>&1
40	:	1778195942.576	  6060.608	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V2 --seed 4         --out results/full         > logs/full_fold12/SP50_V2_s4.log 2>&1
43	:	1778200084.273	  2443.562	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V3 --seed 2         --out results/full         > logs/full_fold12/SP50_V3_s2.log 2>&1
44	:	1778200903.480	  2460.365	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V3 --seed 3         --out results/full         > logs/full_fold12/SP50_V3_s3.log 2>&1
45	:	1778200992.035	  2435.434	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market SP50 --fold 12 --variant V3 --seed 4         --out results/full         > logs/full_fold12/SP50_V3_s4.log 2>&1
51	:	1778203427.475	   395.453	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market IBEX --fold 12 --variant V0 --seed 0         --out results/full         > logs/full_fold12/IBEX_V0_s0.log 2>&1
52	:	1778203822.933	   397.363	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market IBEX --fold 12 --variant V0 --seed 1         --out results/full         > logs/full_fold12/IBEX_V0_s1.log 2>&1
53	:	1778204220.300	   400.975	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market IBEX --fold 12 --variant V0 --seed 2         --out results/full         > logs/full_fold12/IBEX_V0_s2.log 2>&1
54	:	1778204621.280	   403.134	0	0	0	0	python scripts/run_one.py         --config src/configs/full.yaml         --market IBEX --fold 12 --variant V0 --seed 3         --out results/full         > logs/full_fold12/IBEX_V0_s3.log 2>&1
