Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1778526105.787	     3.782	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V0 --seed 0 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V0_s0.log 2>&1
2	:	1778526105.789	     3.856	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V0 --seed 1 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V0_s1.log 2>&1
9	:	1778526105.807	     3.851	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V1 --seed 3 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V1_s3.log 2>&1
3	:	1778526105.790	     3.901	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V0 --seed 2 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V0_s2.log 2>&1
7	:	1778526105.800	     3.903	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V1 --seed 1 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V1_s1.log 2>&1
6	:	1778526105.797	     3.917	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V1 --seed 0 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V1_s0.log 2>&1
5	:	1778526105.794	     3.939	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V0 --seed 4 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V0_s4.log 2>&1
4	:	1778526105.792	     3.988	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V0 --seed 3 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V0_s3.log 2>&1
13	:	1778526105.822	     3.984	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V2 --seed 2 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V2_s2.log 2>&1
11	:	1778526105.814	     4.015	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V2 --seed 0 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V2_s0.log 2>&1
12	:	1778526105.818	     4.024	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V2 --seed 1 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V2_s1.log 2>&1
8	:	1778526105.804	     4.044	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V1 --seed 2 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V1_s2.log 2>&1
10	:	1778526105.811	     4.037	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V1 --seed 4 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V1_s4.log 2>&1
18	:	1778526109.708	     3.549	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V3 --seed 2 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V3_s2.log 2>&1
14	:	1778526109.577	     3.705	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V2 --seed 3 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V2_s3.log 2>&1
16	:	1778526109.664	     3.625	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V3 --seed 0 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V3_s0.log 2>&1
20	:	1778526109.739	     3.628	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V3 --seed 4 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V3_s4.log 2>&1
17	:	1778526109.696	     3.738	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V3 --seed 1 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V3_s1.log 2>&1
19	:	1778526109.718	     3.722	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V3 --seed 3 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V3_s3.log 2>&1
25	:	1778526109.854	     3.586	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V4 --seed 4 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V4_s4.log 2>&1
24	:	1778526109.848	     3.603	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V4 --seed 3 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V4_s3.log 2>&1
22	:	1778526109.811	     3.646	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V4 --seed 1 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V4_s1.log 2>&1
21	:	1778526109.787	     3.705	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V4 --seed 0 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V4_s0.log 2>&1
15	:	1778526109.651	     3.869	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V2 --seed 4 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V2_s4.log 2>&1
23	:	1778526109.834	     3.731	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 0 --variant V4 --seed 2 --out results/full_optimal > logs/full_optimal/BOND_US_f0_V4_s2.log 2>&1
26	:	1778526109.858	     3.708	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 1 --variant V0 --seed 0 --out results/full_optimal > logs/full_optimal/BOND_US_f1_V0_s0.log 2>&1
29	:	1778526113.293	     3.660	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 1 --variant V0 --seed 3 --out results/full_optimal > logs/full_optimal/BOND_US_f1_V0_s3.log 2>&1
28	:	1778526113.288	     3.709	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 1 --variant V0 --seed 2 --out results/full_optimal > logs/full_optimal/BOND_US_f1_V0_s2.log 2>&1
27	:	1778526113.263	     3.838	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 1 --variant V0 --seed 1 --out results/full_optimal > logs/full_optimal/BOND_US_f1_V0_s1.log 2>&1
31	:	1778526113.440	     3.690	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 1 --variant V1 --seed 0 --out results/full_optimal > logs/full_optimal/BOND_US_f1_V1_s0.log 2>&1
37	:	1778526113.525	     3.698	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 1 --variant V2 --seed 1 --out results/full_optimal > logs/full_optimal/BOND_US_f1_V2_s1.log 2>&1
36	:	1778526113.497	     3.746	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 1 --variant V2 --seed 0 --out results/full_optimal > logs/full_optimal/BOND_US_f1_V2_s0.log 2>&1
33	:	1778526113.450	     3.809	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_bond_us.yaml --market BOND_US --fold 1 --variant V1 --seed 2 --out results/full_optimal > logs/full_optimal/BOND_US_f1_V1_s2.log 2>&1
