Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1778526355.961	     4.400	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V0 --seed 0 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V0_s0.log 2>&1
4	:	1778526355.965	     4.485	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V0 --seed 3 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V0_s3.log 2>&1
12	:	1778526355.983	     4.467	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V2 --seed 1 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V2_s1.log 2>&1
8	:	1778526355.973	     4.500	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V1 --seed 2 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V1_s2.log 2>&1
9	:	1778526355.976	     4.498	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V1 --seed 3 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V1_s3.log 2>&1
3	:	1778526355.964	     4.536	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V0 --seed 2 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V0_s2.log 2>&1
5	:	1778526355.967	     4.546	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V0 --seed 4 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V0_s4.log 2>&1
14	:	1778526355.989	     4.546	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V2 --seed 3 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V2_s3.log 2>&1
10	:	1778526355.978	     4.571	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V1 --seed 4 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V1_s4.log 2>&1
11	:	1778526355.981	     4.572	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V2 --seed 0 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V2_s0.log 2>&1
6	:	1778526355.969	     4.601	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V1 --seed 0 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V1_s0.log 2>&1
15	:	1778526355.993	     4.578	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V2 --seed 4 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V2_s4.log 2>&1
16	:	1778526355.997	     4.575	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V3 --seed 0 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V3_s0.log 2>&1
2	:	1778526355.962	     4.631	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V0 --seed 1 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V0_s1.log 2>&1
7	:	1778526355.971	     4.627	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V1 --seed 1 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V1_s1.log 2>&1
13	:	1778526355.986	     4.618	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V2 --seed 2 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V2_s2.log 2>&1
17	:	1778526360.368	     4.366	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V3 --seed 1 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V3_s1.log 2>&1
21	:	1778526360.491	     4.358	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V4 --seed 0 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V4_s0.log 2>&1
20	:	1778526360.479	     4.388	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V3 --seed 4 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V3_s4.log 2>&1
18	:	1778526360.458	     4.437	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V3 --seed 2 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V3_s2.log 2>&1
30	:	1778526360.598	     4.363	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 1 --variant V0 --seed 4 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f1_V0_s4.log 2>&1
19	:	1778526360.474	     4.509	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V3 --seed 3 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V3_s3.log 2>&1
28	:	1778526360.584	     4.400	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 1 --variant V0 --seed 2 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f1_V0_s2.log 2>&1
23	:	1778526360.521	     4.470	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V4 --seed 2 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V4_s2.log 2>&1
24	:	1778526360.541	     4.455	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V4 --seed 3 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V4_s3.log 2>&1
26	:	1778526360.558	     4.448	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 1 --variant V0 --seed 0 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f1_V0_s0.log 2>&1
22	:	1778526360.507	     4.509	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V4 --seed 1 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V4_s1.log 2>&1
29	:	1778526360.590	     4.450	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 1 --variant V0 --seed 3 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f1_V0_s3.log 2>&1
25	:	1778526360.553	     4.496	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 0 --variant V4 --seed 4 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f0_V4_s4.log 2>&1
31	:	1778526360.604	     4.453	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 1 --variant V1 --seed 0 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f1_V1_s0.log 2>&1
32	:	1778526360.613	     4.446	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 1 --variant V1 --seed 1 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f1_V1_s1.log 2>&1
27	:	1778526360.577	     4.519	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 1 --variant V0 --seed 1 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f1_V0_s1.log 2>&1
34	:	1778526364.858	     4.213	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 1 --variant V1 --seed 3 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f1_V1_s3.log 2>&1
35	:	1778526364.877	     4.205	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 1 --variant V1 --seed 4 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f1_V1_s4.log 2>&1
33	:	1778526364.744	     4.416	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 1 --variant V1 --seed 2 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f1_V1_s2.log 2>&1
36	:	1778526364.903	     4.291	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 1 --variant V2 --seed 0 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f1_V2_s0.log 2>&1
37	:	1778526364.967	     4.236	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 1 --variant V2 --seed 1 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f1_V2_s1.log 2>&1
40	:	1778526365.001	     4.310	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 1 --variant V2 --seed 4 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f1_V2_s4.log 2>&1
41	:	1778526365.007	     4.319	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 1 --variant V3 --seed 0 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f1_V3_s0.log 2>&1
48	:	1778526365.103	     4.403	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 1 --variant V4 --seed 2 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f1_V4_s2.log 2>&1
39	:	1778526364.996	     4.527	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 1 --variant V2 --seed 3 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f1_V2_s3.log 2>&1
42	:	1778526365.017	     4.512	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_brd_cmdy.yaml --market BRD_CMDY --fold 1 --variant V3 --seed 1 --out results/full_optimal > logs/full_optimal/BRD_CMDY_f1_V3_s1.log 2>&1
