Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
9	:	1778536197.999	   241.205	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_crypto.yaml --market CRYPTO --fold 0 --variant V1 --seed 3 --out results/full_optimal > logs/full_optimal/CRYPTO_f0_V1_s3.log 2>&1
7	:	1778536197.995	   241.609	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_crypto.yaml --market CRYPTO --fold 0 --variant V1 --seed 1 --out results/full_optimal > logs/full_optimal/CRYPTO_f0_V1_s1.log 2>&1
5	:	1778536197.992	   243.119	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_crypto.yaml --market CRYPTO --fold 0 --variant V0 --seed 4 --out results/full_optimal > logs/full_optimal/CRYPTO_f0_V0_s4.log 2>&1
2	:	1778536197.987	   244.592	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_crypto.yaml --market CRYPTO --fold 0 --variant V0 --seed 1 --out results/full_optimal > logs/full_optimal/CRYPTO_f0_V0_s1.log 2>&1
8	:	1778536197.997	   245.278	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_crypto.yaml --market CRYPTO --fold 0 --variant V1 --seed 2 --out results/full_optimal > logs/full_optimal/CRYPTO_f0_V1_s2.log 2>&1
1	:	1778536197.985	   246.486	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_crypto.yaml --market CRYPTO --fold 0 --variant V0 --seed 0 --out results/full_optimal > logs/full_optimal/CRYPTO_f0_V0_s0.log 2>&1
6	:	1778536197.994	   248.332	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_crypto.yaml --market CRYPTO --fold 0 --variant V1 --seed 0 --out results/full_optimal > logs/full_optimal/CRYPTO_f0_V1_s0.log 2>&1
10	:	1778536198.001	   255.963	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_crypto.yaml --market CRYPTO --fold 0 --variant V1 --seed 4 --out results/full_optimal > logs/full_optimal/CRYPTO_f0_V1_s4.log 2>&1
4	:	1778536197.990	   257.201	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_crypto.yaml --market CRYPTO --fold 0 --variant V0 --seed 3 --out results/full_optimal > logs/full_optimal/CRYPTO_f0_V0_s3.log 2>&1
3	:	1778536197.988	   257.689	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal_crypto.yaml --market CRYPTO --fold 0 --variant V0 --seed 2 --out results/full_optimal > logs/full_optimal/CRYPTO_f0_V0_s2.log 2>&1
