Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
7	:	1778369967.643	   437.784	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V1 --seed 1 --out results/full_optimal > logs/full_optimal/HSI_f0_V1_s1.log 2>&1
5	:	1778369967.636	   439.167	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V0 --seed 4 --out results/full_optimal > logs/full_optimal/HSI_f0_V0_s4.log 2>&1
3	:	1778369967.631	   439.365	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V0 --seed 2 --out results/full_optimal > logs/full_optimal/HSI_f0_V0_s2.log 2>&1
1	:	1778369967.626	   443.160	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V0 --seed 0 --out results/full_optimal > logs/full_optimal/HSI_f0_V0_s0.log 2>&1
6	:	1778369967.639	   444.325	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V1 --seed 0 --out results/full_optimal > logs/full_optimal/HSI_f0_V1_s0.log 2>&1
4	:	1778369967.634	   445.454	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V0 --seed 3 --out results/full_optimal > logs/full_optimal/HSI_f0_V0_s3.log 2>&1
8	:	1778369967.648	   446.858	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V1 --seed 2 --out results/full_optimal > logs/full_optimal/HSI_f0_V1_s2.log 2>&1
2	:	1778369967.628	   447.392	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V0 --seed 1 --out results/full_optimal > logs/full_optimal/HSI_f0_V0_s1.log 2>&1
9	:	1778370405.438	   428.515	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V1 --seed 3 --out results/full_optimal > logs/full_optimal/HSI_f0_V1_s3.log 2>&1
10	:	1778370406.809	   433.217	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V1 --seed 4 --out results/full_optimal > logs/full_optimal/HSI_f0_V1_s4.log 2>&1
16	:	1778370415.026	   761.668	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V3 --seed 0 --out results/full_optimal > logs/full_optimal/HSI_f0_V3_s0.log 2>&1
18	:	1778370840.033	   741.301	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V3 --seed 2 --out results/full_optimal > logs/full_optimal/HSI_f0_V3_s2.log 2>&1
17	:	1778370833.960	   751.753	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V3 --seed 1 --out results/full_optimal > logs/full_optimal/HSI_f0_V3_s1.log 2>&1
19	:	1778371176.703	   747.800	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V3 --seed 3 --out results/full_optimal > logs/full_optimal/HSI_f0_V3_s3.log 2>&1
20	:	1778371581.340	   732.393	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V3 --seed 4 --out results/full_optimal > logs/full_optimal/HSI_f0_V3_s4.log 2>&1
14	:	1778370413.094	  4362.992	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V2 --seed 3 --out results/full_optimal > logs/full_optimal/HSI_f0_V2_s3.log 2>&1
11	:	1778370407.000	  4420.250	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V2 --seed 0 --out results/full_optimal > logs/full_optimal/HSI_f0_V2_s0.log 2>&1
13	:	1778370411.973	  4453.185	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V2 --seed 2 --out results/full_optimal > logs/full_optimal/HSI_f0_V2_s2.log 2>&1
12	:	1778370410.800	  4488.726	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V2 --seed 1 --out results/full_optimal > logs/full_optimal/HSI_f0_V2_s1.log 2>&1
15	:	1778370414.510	  4529.805	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 0 --variant V2 --seed 4 --out results/full_optimal > logs/full_optimal/HSI_f0_V2_s4.log 2>&1
26	:	1778374865.177	   435.986	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V0 --seed 0 --out results/full_optimal > logs/full_optimal/HSI_f1_V0_s0.log 2>&1
27	:	1778374899.532	   434.980	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V0 --seed 1 --out results/full_optimal > logs/full_optimal/HSI_f1_V0_s1.log 2>&1
28	:	1778374944.322	   433.299	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V0 --seed 2 --out results/full_optimal > logs/full_optimal/HSI_f1_V0_s2.log 2>&1
29	:	1778375301.180	   438.953	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V0 --seed 3 --out results/full_optimal > logs/full_optimal/HSI_f1_V0_s3.log 2>&1
30	:	1778375334.518	   434.929	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V0 --seed 4 --out results/full_optimal > logs/full_optimal/HSI_f1_V0_s4.log 2>&1
31	:	1778375377.626	   435.679	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V1 --seed 0 --out results/full_optimal > logs/full_optimal/HSI_f1_V1_s0.log 2>&1
32	:	1778375740.139	   439.220	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V1 --seed 1 --out results/full_optimal > logs/full_optimal/HSI_f1_V1_s1.log 2>&1
33	:	1778375769.453	   442.559	0	0	0	0	python scripts/run_one.py --config src/configs/full_optimal.yaml --market HSI --fold 1 --variant V1 --seed 2 --out results/full_optimal > logs/full_optimal/HSI_f1_V1_s2.log 2>&1
