Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1777505306.018	   488.608	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V0 --seed 2 > logs/DJIA_f0_V0_s2.log 2>&1
4	:	1777505306.022	   488.766	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V0 --seed 3 > logs/DJIA_f0_V0_s3.log 2>&1
2	:	1777505306.016	   493.980	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V0 --seed 1 > logs/DJIA_f0_V0_s1.log 2>&1
5	:	1777505306.025	   495.800	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V0 --seed 4 > logs/DJIA_f0_V0_s4.log 2>&1
1	:	1777505306.013	   497.167	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V0 --seed 0 > logs/DJIA_f0_V0_s0.log 2>&1
6	:	1777505306.029	  2045.392	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V1 --seed 0 > logs/DJIA_f0_V1_s0.log 2>&1
8	:	1777505794.792	  1979.805	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V1 --seed 2 > logs/DJIA_f0_V1_s2.log 2>&1
9	:	1777505800.000	  2000.125	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V1 --seed 3 > logs/DJIA_f0_V1_s3.log 2>&1
10	:	1777505801.831	  2005.804	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V1 --seed 4 > logs/DJIA_f0_V1_s4.log 2>&1
7	:	1777505794.631	  2026.447	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V1 --seed 1 > logs/DJIA_f0_V1_s1.log 2>&1
16	:	1777507821.083	  2226.103	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V3 --seed 0 > logs/DJIA_f0_V3_s0.log 2>&1
11	:	1777505803.183	  5922.157	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V2 --seed 0 > logs/DJIA_f0_V2_s0.log 2>&1
17	:	1777510047.191	  2220.683	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V3 --seed 1 > logs/DJIA_f0_V3_s1.log 2>&1
12	:	1777507351.426	  5898.090	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V2 --seed 1 > logs/DJIA_f0_V2_s1.log 2>&1
13	:	1777507774.601	  5908.174	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V2 --seed 2 > logs/DJIA_f0_V2_s2.log 2>&1
14	:	1777507800.128	  5919.236	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V2 --seed 3 > logs/DJIA_f0_V2_s3.log 2>&1
15	:	1777507807.642	  5961.970	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V2 --seed 4 > logs/DJIA_f0_V2_s4.log 2>&1
18	:	1777511725.346	  2252.594	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V3 --seed 2 > logs/DJIA_f0_V3_s2.log 2>&1
19	:	1777512267.877	  2242.277	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V3 --seed 3 > logs/DJIA_f0_V3_s3.log 2>&1
20	:	1777513249.520	  2189.551	0	0	0	0	python scripts/run_one.py --market DJIA --fold 0 --variant V3 --seed 4 > logs/DJIA_f0_V3_s4.log 2>&1
26	:	1777515439.075	   408.846	0	0	0	0	python scripts/run_one.py --market DJIA --fold 1 --variant V0 --seed 0 > logs/DJIA_f1_V0_s0.log 2>&1
27	:	1777515847.929	   407.874	0	0	0	0	python scripts/run_one.py --market DJIA --fold 1 --variant V0 --seed 1 > logs/DJIA_f1_V0_s1.log 2>&1
28	:	1777516255.806	   408.059	0	0	0	0	python scripts/run_one.py --market DJIA --fold 1 --variant V0 --seed 2 > logs/DJIA_f1_V0_s2.log 2>&1
29	:	1777516663.869	   412.296	0	0	0	0	python scripts/run_one.py --market DJIA --fold 1 --variant V0 --seed 3 > logs/DJIA_f1_V0_s3.log 2>&1
30	:	1777517076.169	   409.463	0	0	0	0	python scripts/run_one.py --market DJIA --fold 1 --variant V0 --seed 4 > logs/DJIA_f1_V0_s4.log 2>&1
