Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
6	:	1780849649.346	     5.805	0	0	2	0	python scripts/run_one_rebalance_frec.py --config src/configs/full_optimal.yaml --market DJIA --fold 1 --variant V4 --seed 0 --out results/rebalance_frec/every_21 --telemetry > logs/rebalance_frec/every_21/DJIA_f1_V4_s0.log 2>&1
1	:	1780849649.332	     5.832	0	0	2	0	python scripts/run_one_rebalance_frec.py --config src/configs/full_optimal.yaml --market DJIA --fold 0 --variant V4 --seed 0 --out results/rebalance_frec/every_21 --telemetry > logs/rebalance_frec/every_21/DJIA_f0_V4_s0.log 2>&1
2	:	1780849649.334	     5.831	0	0	2	0	python scripts/run_one_rebalance_frec.py --config src/configs/full_optimal.yaml --market DJIA --fold 0 --variant V4 --seed 1 --out results/rebalance_frec/every_21 --telemetry > logs/rebalance_frec/every_21/DJIA_f0_V4_s1.log 2>&1
3	:	1780849649.337	     5.828	0	0	2	0	python scripts/run_one_rebalance_frec.py --config src/configs/full_optimal.yaml --market DJIA --fold 0 --variant V4 --seed 2 --out results/rebalance_frec/every_21 --telemetry > logs/rebalance_frec/every_21/DJIA_f0_V4_s2.log 2>&1
4	:	1780849649.339	     5.826	0	0	2	0	python scripts/run_one_rebalance_frec.py --config src/configs/full_optimal.yaml --market DJIA --fold 0 --variant V4 --seed 3 --out results/rebalance_frec/every_21 --telemetry > logs/rebalance_frec/every_21/DJIA_f0_V4_s3.log 2>&1
5	:	1780849649.343	     5.824	0	0	2	0	python scripts/run_one_rebalance_frec.py --config src/configs/full_optimal.yaml --market DJIA --fold 0 --variant V4 --seed 4 --out results/rebalance_frec/every_21 --telemetry > logs/rebalance_frec/every_21/DJIA_f0_V4_s4.log 2>&1
7	:	1780849649.349	     5.818	0	0	2	0	python scripts/run_one_rebalance_frec.py --config src/configs/full_optimal.yaml --market DJIA --fold 1 --variant V4 --seed 1 --out results/rebalance_frec/every_21 --telemetry > logs/rebalance_frec/every_21/DJIA_f1_V4_s1.log 2>&1
8	:	1780849649.352	     5.815	0	0	2	0	python scripts/run_one_rebalance_frec.py --config src/configs/full_optimal.yaml --market DJIA --fold 1 --variant V4 --seed 2 --out results/rebalance_frec/every_21 --telemetry > logs/rebalance_frec/every_21/DJIA_f1_V4_s2.log 2>&1
10	:	1780849655.176	     3.455	0	0	2	0	python scripts/run_one_rebalance_frec.py --config src/configs/full_optimal.yaml --market DJIA --fold 1 --variant V4 --seed 4 --out results/rebalance_frec/every_21 --telemetry > logs/rebalance_frec/every_21/DJIA_f1_V4_s4.log 2>&1
9	:	1780849655.155	     3.492	0	0	2	0	python scripts/run_one_rebalance_frec.py --config src/configs/full_optimal.yaml --market DJIA --fold 1 --variant V4 --seed 3 --out results/rebalance_frec/every_21 --telemetry > logs/rebalance_frec/every_21/DJIA_f1_V4_s3.log 2>&1
