Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1777624503.285	   334.198	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V1 --seed 0         --lambda-dd 5.0 --lambda-evt 0.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V1_s0_l1_5.0_l2_0.0.log 2>&1
3	:	1777624503.283	   336.828	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V1 --seed 0         --lambda-dd 2.0 --lambda-evt 0.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V1_s0_l1_2.0_l2_0.0.log 2>&1
2	:	1777624503.281	   340.131	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V1 --seed 0         --lambda-dd 1.0 --lambda-evt 0.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V1_s0_l1_1.0_l2_0.0.log 2>&1
1	:	1777624503.279	   342.700	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V1 --seed 0         --lambda-dd 0.5 --lambda-evt 0.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V1_s0_l1_0.5_l2_0.0.log 2>&1
9	:	1777624503.297	  1201.582	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 0.5 --lambda-evt 5.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s0_l1_0.5_l2_5.0.log 2>&1
5	:	1777624503.287	  1202.146	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 0.5 --lambda-evt 0.1         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s0_l1_0.5_l2_0.1.log 2>&1
10	:	1777624503.299	  1203.440	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 1.0 --lambda-evt 0.1         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s0_l1_1.0_l2_0.1.log 2>&1
8	:	1777624503.294	  1203.696	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 0.5 --lambda-evt 2.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s0_l1_0.5_l2_2.0.log 2>&1
6	:	1777624503.289	  1207.283	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 0.5 --lambda-evt 0.5         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s0_l1_0.5_l2_0.5.log 2>&1
7	:	1777624503.292	  1208.062	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 0.5 --lambda-evt 1.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s0_l1_0.5_l2_1.0.log 2>&1
12	:	1777624840.116	  1211.443	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 1.0 --lambda-evt 1.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s0_l1_1.0_l2_1.0.log 2>&1
11	:	1777624837.488	  1216.535	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 1.0 --lambda-evt 0.5         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s0_l1_1.0_l2_0.5.log 2>&1
14	:	1777624845.984	  1208.620	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 1.0 --lambda-evt 5.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s0_l1_1.0_l2_5.0.log 2>&1
13	:	1777624843.416	  1217.846	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 1.0 --lambda-evt 2.0         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_lambda         > logs/sens_lambda/DJIA_f0_V4_s0_l1_1.0_l2_2.0.log 2>&1
