Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
10	:	1777761454.526	   390.523	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 5 --variant V4 --seed 0         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 120         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f5_V4_s0_W120.log 2>&1
13	:	1777761454.534	   392.877	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 5 --variant V4 --seed 1         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 120         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f5_V4_s1_W120.log 2>&1
4	:	1777761454.513	   397.690	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 1         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 120         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f0_V4_s1_W120.log 2>&1
7	:	1777761454.520	   398.528	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 2         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 120         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f0_V4_s2_W120.log 2>&1
1	:	1777761454.508	   399.261	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 120         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f0_V4_s0_W120.log 2>&1
16	:	1777761847.417	   446.154	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 5 --variant V4 --seed 2         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 120         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f5_V4_s2_W120.log 2>&1
19	:	1777761853.775	   444.131	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 9 --variant V4 --seed 0         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 120         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f9_V4_s0_W120.log 2>&1
2	:	1777761454.509	  1396.644	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 250         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f0_V4_s0_W250.log 2>&1
5	:	1777761454.515	  1413.629	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 1         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 250         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f0_V4_s1_W250.log 2>&1
8	:	1777761454.522	  1418.281	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 2         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 250         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f0_V4_s2_W250.log 2>&1
11	:	1777761454.528	  1446.922	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 5 --variant V4 --seed 0         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 250         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f5_V4_s0_W250.log 2>&1
14	:	1777761454.539	  1453.345	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 5 --variant V4 --seed 1         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 250         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f5_V4_s1_W250.log 2>&1
22	:	1777762851.159	   449.953	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 9 --variant V4 --seed 1         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 120         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f9_V4_s1_W120.log 2>&1
25	:	1777762901.457	   448.905	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 9 --variant V4 --seed 2         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 120         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f9_V4_s2_W120.log 2>&1
17	:	1777761852.212	  1506.139	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 5 --variant V4 --seed 2         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 250         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f5_V4_s2_W250.log 2>&1
9	:	1777761454.524	  1938.489	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 2         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 500         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f0_V4_s2_W500.log 2>&1
3	:	1777761454.511	  1939.278	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 0         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 500         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f0_V4_s0_W500.log 2>&1
6	:	1777761454.517	  1947.204	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 0 --variant V4 --seed 1         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 500         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f0_V4_s1_W500.log 2>&1
12	:	1777761454.531	  1979.854	0	0	0	0	python scripts/run_one_sens.py         --market DJIA --fold 5 --variant V4 --seed 0         --lambda-dd 2.0 --lambda-evt 2.0         --evt-window 500         --total-timesteps 100000         --config src/configs/intermediate_B.yaml --out results/sens_window         > logs/sens_window/DJIA_f5_V4_s0_W500.log 2>&1
