,,mdd,mdd,mdd,cdar_95,cdar_95,cdar_95,dd_q95,dd_q95,dd_q95,calmar,calmar,calmar,sharpe,sharpe,sharpe,sortino,sortino,sortino,cagr,cagr,cagr,vol_annualised,vol_annualised,vol_annualised,cvar_95,cvar_95,cvar_95,cvar_99,cvar_99,cvar_99,turnover_mean,turnover_mean,turnover_mean
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
market,variant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJIA,V0,0.11251364955258555,0.05772599010624211,65,0.09564742129046122,0.052607225867000014,65,0.08395950004386958,0.05060797079864527,65,0.5673942556902097,1.5573180192184835,65,0.21821806063621657,0.7429826369487104,65,0.3007328174961764,1.0401958525125128,65,0.019977128401025723,0.13362977908671492,65,0.13790981302937172,0.047418924823066234,65,0.019985972368319338,0.006670125159209787,65,0.029548210773697257,0.01134079391456231,65,0.6441420606701206,0.024872152706109006,65
DJIA,V1,0.10692539907106816,0.055890989937358075,65,0.090610660041924,0.04978350843487869,65,0.079729865058816,0.04711063626476202,65,0.7481554212872908,1.517800660615886,65,0.3283870871496337,0.7131296229404996,65,0.4621820044038453,1.0056233410543056,65,0.034205573688552184,0.12837848112100686,65,0.13742621989317616,0.048010675565090685,65,0.019843064878854656,0.006763703599798269,65,0.029625766831235006,0.011753259654136016,65,0.5542969352172871,0.033174864367478296,65
DJIA,V2,0.10200926776968688,0.055190932717927826,65,0.0857014427476785,0.04907947401571864,65,0.07445276298826367,0.04628355496687022,65,1.1538638365330993,1.8819012455533142,65,0.531005011782737,0.7592887261377869,65,0.7334807533760537,1.051501468759319,65,0.05791350369027003,0.12615468465363655,65,0.136485254000141,0.04766825088744778,65,0.0196685166912412,0.00676516444833885,65,0.02955291171104565,0.011821179926869136,65,0.46763079570562743,0.0294964312127164,65
DJIA,V3,0.10154660739332382,0.05461136733319923,65,0.08529447785900561,0.047974283478516955,65,0.07439968734488603,0.04485199540607304,65,1.2073713560996078,1.9609705266932953,65,0.5471848743157894,0.7832033464210204,65,0.7637470713389712,1.096301404571018,65,0.06188994538461953,0.13582871033764424,65,0.13692321626325368,0.04784279109488183,65,0.019691705934002914,0.00672788894308766,65,0.029500324732530597,0.011692750187906612,65,0.4539738120898926,0.029115893078767007,65
DJIA,V4,0.09918944420679726,0.05373361885603921,65,0.0831890144940986,0.04732351621484344,65,0.07202625897921401,0.04454261324532148,65,1.3184314412844393,2.0366520951300595,65,0.5992426230856318,0.7666723873950629,65,0.829376718795136,1.0643007907496913,65,0.06810197498810971,0.13086275533469363,65,0.13680255970811878,0.04791950093404933,65,0.01964200173166427,0.006670406984391833,65,0.02948786512776421,0.01192474277890143,65,0.45122173188121045,0.028274111777480064,65
IBEX,V0,0.16659584329075952,0.05678629223652683,65,0.14752353760485218,0.05734617877367842,65,0.13415744007230895,0.059076826341557795,65,0.185768633015151,1.3202357954050534,65,-0.08862647715828807,1.0192016213722865,65,-0.13225302986191922,1.5153575436688707,65,-0.004419310650288326,0.18834563046019961,65,0.16671043533491597,0.041823167748674964,65,0.02334500051830461,0.0051339231968128875,65,0.03540872777339599,0.013382039075602476,65,0.6327622853818733,0.02655232729199785,65
IBEX,V1,0.15990892183049002,0.05521379326989534,65,0.14008269343790283,0.05582993712358769,65,0.12619067918618895,0.05761401389223002,65,0.4118903685567431,1.3973260837169936,65,0.11536678130076623,1.0678409184251798,65,0.1698424630119482,1.5769866902454017,65,0.030577854573451024,0.20185049537392766,65,0.1654772860274189,0.04282201359826113,65,0.023075153530667906,0.005136979394171224,65,0.03508525171881279,0.012948737220948227,65,0.4931608503086564,0.033482134985141805,65
IBEX,V2,0.15089131525692276,0.054051110710007705,65,0.13090871901573894,0.054372782815159656,65,0.1173083105812169,0.055541538008413584,65,0.5725016767901885,1.4730849023851111,65,0.24787012752000676,1.0348932319942388,65,0.3491902352814138,1.5109622761231953,65,0.04977494288910976,0.1969648458685676,65,0.16504910942240203,0.04285488471079712,65,0.022948203920566068,0.005267641105963881,65,0.035124207687460586,0.013047937626725386,65,0.43951092709193357,0.021695627352566686,65
