,,mdd,mdd,mdd,cdar_95,cdar_95,cdar_95,sharpe,sharpe,sharpe,sortino,sortino,sortino,calmar,calmar,calmar,cagr,cagr,cagr,vol_annualised,vol_annualised,vol_annualised,turnover_mean,turnover_mean,turnover_mean
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
asset_class,variant,,,,,,,,,,,,,,,,,,,,,,,,
Commodity,V0,0.1727,0.0514,45,0.1617,0.0529,45,-0.6686,1.0109,45,-0.9935,1.3644,45,-0.3963,0.9799,45,-0.0853,0.1686,45,0.163,0.0396,45,0.7187,0.0249,45
Commodity,V1,0.1551,0.0488,45,0.1441,0.0501,45,-0.406,1.0537,45,-0.6204,1.421,45,-0.1078,1.2328,45,-0.0419,0.1867,45,0.1578,0.0364,45,0.5494,0.0216,45
Commodity,V2,0.1535,0.0499,45,0.1431,0.0505,45,-0.4178,0.985,45,-0.6444,1.3406,45,-0.1431,1.2262,45,-0.0478,0.1729,45,0.1583,0.0371,45,0.5493,0.0199,45
Commodity,V3,0.1502,0.0455,45,0.1391,0.046,45,-0.3176,0.9668,45,-0.4982,1.3046,45,-0.0563,1.1322,45,-0.0332,0.1673,45,0.1579,0.0373,45,0.4661,0.0174,45
Commodity,V4,0.1471,0.0432,45,0.1359,0.0451,45,-0.2567,0.9558,45,-0.4168,1.2893,45,0.0043,1.2104,45,-0.0242,0.169,45,0.158,0.0369,45,0.463,0.0186,45
Cryptocurrency,V0,0.4499,0.1469,20,0.4297,0.1521,20,-0.0355,0.5315,20,-0.0023,0.7204,20,-0.1803,0.4757,20,-0.1199,0.2687,20,0.5223,0.0912,20,0.8176,0.0262,20
Cryptocurrency,V1,0.4384,0.1553,20,0.417,0.1604,20,0.0391,0.5556,20,0.1066,0.73,20,-0.0814,0.4529,20,-0.0854,0.2696,20,0.5147,0.0826,20,0.597,0.0242,20
Cryptocurrency,V2,0.4532,0.1499,20,0.4323,0.155,20,-0.0151,0.56,20,0.0274,0.7169,20,-0.1414,0.4239,20,-0.1121,0.2645,20,0.5147,0.0807,20,0.6091,0.0238,20
Cryptocurrency,V3,0.4256,0.1526,20,0.4018,0.1587,20,0.1207,0.5593,20,0.2231,0.7409,20,0.0263,0.4935,20,-0.0478,0.2782,20,0.5162,0.0831,20,0.5194,0.016,20
Cryptocurrency,V4,0.4308,0.1524,20,0.4079,0.1563,20,0.0628,0.5503,20,0.1308,0.7169,20,-0.0635,0.4576,20,-0.0746,0.2706,20,0.5144,0.084,20,0.524,0.0197,20
Equity (Asia),V0,0.1772,0.0697,65,0.165,0.0691,65,-0.4004,0.8523,65,-0.6656,1.2479,65,-0.1509,0.8757,65,-0.0712,0.1277,65,0.1678,0.0363,65,0.5872,0.0172,65
Equity (Asia),V1,0.1676,0.0653,65,0.1552,0.0641,65,-0.2248,0.8522,65,-0.4048,1.2286,65,0.0273,1.0011,65,-0.0442,0.1294,65,0.1659,0.0352,65,0.4593,0.0171,65
Equity (Asia),V2,0.1655,0.0649,65,0.1528,0.0639,65,-0.1825,0.8479,65,-0.3403,1.229,65,0.082,1.0617,65,-0.0381,0.1299,65,0.1662,0.0353,65,0.4631,0.018,65
Equity (Asia),V3,0.1622,0.0664,65,0.1498,0.0648,65,-0.0893,0.9003,65,-0.2028,1.3012,65,0.2451,1.3008,65,-0.0243,0.1365,65,0.1658,0.0353,65,0.3977,0.0153,65
Equity (Asia),V4,0.1624,0.0642,65,0.1497,0.0631,65,-0.1004,0.8569,65,-0.2266,1.2341,65,0.1777,1.149,65,-0.0256,0.1325,65,0.1658,0.0353,65,0.3974,0.0141,65
